Bill of Materials,,,,,,
No.,Name,Link,Quantity,Price(Per part),Shipping price,Price(Total)
1,30x30x3x20000mm steel pipes,https://e-materials.pl/products/profil-stalowy-zamkniety-30x30x3-mm-zimnogiety-s235jr?variant=50170620051798,3,"41,88zł","50,00zł","175,64zł"
2,Rear axle kit,https://allegro.pl/oferta/oska-os-tyl-atv-buggy-gokart-1000mm-komplet-zebatka-piasta-17937539628,1,"399,99zł","26,50zł","426,49zł"
3,Steering kit,https://pl.aliexpress.com/item/1005010035577507.html,1,"372,79zł","0,00zł","372,79zł"
4,Spindles kit,https://pl.aliexpress.com/item/1005009372667215.html,1,"91,79zł","144,64zł","236,43zł"
5,13t 20mm 428 Centrifugal clutch,https://pl.aliexpress.com/item/1005007257998148.html,1,"110,27zł","0,00zł","110,27zł"
6,GX160 Engine,https://allegro.pl/oferta/silnik-spalinowy-zageszczarka-gx160-7-0-km-ohv-walek-20mm-ubijarka-agregat-12961306488?utm_feed=aa34192d-eee2-4419-9a9a-de66b9dfae24&utm_source=google&utm_medium=freelisting,1,"355,00zł","9,99zł","364,99zł"
7,Rims,https://pl.aliexpress.com/item/1005009045231511.html,2,"216,00zł","0,00zł","432,00zł"
8,Tires,https://pl.aliexpress.com/item/1005009045231511.html,2,"216,00zł","0,00zł","432,00zł"
,,,,,Total (PLN)    -,"2 550,61zł"
Note:,,,,,,
"Treat these as references, find cheaper options locally",,,,,,
"The rims and tires come togheter as a wheel, ",,,,,,
